;起始地d描述	经过站	终点站	起始时间	到达时间	类型/0/1/2	备注
中心校区d体育馆	n	兴隆山校区	7:10	n	0	n
中心校区d体育馆	n	兴隆山校区	13:20	n	0	n
兴隆山校区	n	中心校区d体育馆	12:05	n	0	n
兴隆山校区	n	中心校区d体育馆	17:50	n	0	n
						
中心校区d体育馆	洪家楼校区d南门外,五宿舍	软件园校区	7:20	n	0	n
中心校区d体育馆	洪家楼校区d南门外,五宿舍	软件园校区	13:25	n	0	n
软件园校区	五宿舍,洪家楼校区d南门外	中心校区d体育馆	12:10	n	0	n
软件园校区	五宿舍,洪家楼校区d南门外	中心校区d体育馆	17:30	n	0	n
						
洪家楼校区d南门	中心校区d信息楼	兴隆山校区	10:10	n	0	教师专用
兴隆山校区	中心校区d信息楼	洪家楼校区d南门	11:10	n	0	教师专用
						
五宿舍	洪家楼校区d路口南,中心校区d南门外,千佛山校区	趵突泉校区d停车场	7:25	n	0	n
趵突泉校区d停车场	千佛山校区,中心校区d南门外,洪家楼校区d路口南	五宿舍	17:30	n	0	n
						
五宿舍	洪家楼校区d南门外	兴隆山校区	7:10	n	0	n
五宿舍	洪家楼校区d南门外	兴隆山校区	13:20	n	0	n
兴隆山校区	洪家楼校区d南门外	五宿舍	12:05	n	0	n
兴隆山校区	洪家楼校区d南门外	五宿舍	17:50	n	0	n
						
五宿舍	n	中心校区d体育馆	7:40	n	0	n
五宿舍	n	中心校区d体育馆	13:40	n	0	n
中心校区d体育馆	n	五宿舍	12:00	n	0	n
中心校区d体育馆	n	五宿舍	17:30	n	0	n
						
三宿舍	二宿舍	中心校区d体育馆	7:40	n	0	n
三宿舍	二宿舍	中心校区d体育馆	13:40	n	0	n
中心校区d体育馆	二宿舍	三宿舍	12:00	n	0	n
中心校区d体育馆	二宿舍	三宿舍	17:30	n	0	n
						
趵突泉校区d停车场	和平路与山师东路交岔口	中心校区d体育馆	7:40	n	0	n
趵突泉校区d停车场	和平路与山师东路交岔口	中心校区d体育馆	13:40	n	0	n
中心校区d体育馆	和平路与山师东路交岔口	趵突泉校区d停车场	12:00	n	0	n
中心校区d体育馆	和平路与山师东路交岔口	趵突泉校区d停车场	17:30	n	0	n
						
趵突泉校区d南门外	千佛山校区d南院北门外,燕山小区,马家庄	兴隆山校区	7:10	n	0	n
趵突泉校区d南门外	千佛山校区d南院北门外,燕山小区,马家庄	兴隆山校区	13:20	n	0	n
兴隆山校区	千佛山校区d南院北门外,社会科学院	趵突泉校区d南门外	12:05	n	0	n
兴隆山校区	千佛山校区d南院北门外,社会科学院	趵突泉校区d南门外	17:50	n	0	n
						
舜玉小区	阳光舜城,燕山立交北	中心校区d体育馆	7:20	n	0	n
中心校区d体育馆	燕山立交北,阳光舜城	舜玉小区	17:30	n	0	n
						
千佛山校区d北院南门	n	中心校区d体育馆	7:40	n	0	n
中心校区d体育馆	n	千佛山校区d北院南门	12:00	n	0	n
千佛山校区d北院南门	千佛山校区d东院	中心校区d体育馆	13:40	n	0	n
中心校区d体育馆	n	千佛山校区d北院南门	17:30	n	0	n
						
千佛山校区d北院南门	趵突泉校区d北门,文化路,中心校区d南门	洪家楼校区d南门	7:10	n	0	n
千佛山校区d北院南门	趵突泉校区d北门,文化路,中心校区d南门	洪家楼校区d南门	13:10	n	0	n
						
千佛山校区d南院北门	n	中心校区d体育馆	7:40	n	0	n
						
千佛山校区d南院北门	舜玉小区,社会科学院	兴隆山校区	7:20	n	0	n
千佛山校区d南院北门	舜玉小区,社会科学院	兴隆山校区	13:20	n	0	n
兴隆山校区	社会科学院,舜玉小区	千佛山校区d南院北门	12:05	n	0	n
兴隆山校区	社会科学院,舜玉小区	千佛山校区d南院北门	17:50	n	0	n
						
趵突泉校区d北门	千佛山校区d南院北门外	软件园校区	7:15	n	0	n
趵突泉校区d北门	千佛山校区d南院北门外	软件园校区	9:15	n	0	n
趵突泉校区d北门	千佛山校区d南院北门外	软件园校区	13:20	n	0	n
软件园校区	千佛山校区d南院北门外	趵突泉校区d北门	12:10	n	0	n
